address,suburb,postcode,sale_date,property_type,sale_price,bedrooms,bathrooms,car_spaces,land_size_sqm,floor_area_sqm,year_built,distance_to_cbd_km,notes,source,source_url,collection_date
"8/30 Broughton Street, Campbelltown NSW 2560",Campbelltown,2560,24 Aug 2026,Townhouse,637595,2,1,1,,,,55,"Sold with a sitting tenant (leased at $480/week until December) - an investment sale, price may differ slightly from a vacant-possession sale.",domain.com.au,https://www.domain.com.au/8-30-broughton-street-campbelltown-nsw-2560-2021042540,2026-09-14
"5/32 Broughton St, Campbelltown NSW 2560",Campbelltown,2560,17 Aug 2026,Townhouse,620000,3,1,1,,,,55,"ANOMALY: unit-numbered address (5/32) labelled ""House""/""Free Standing Houses"" by Domain, but the listing description explicitly calls it a ""three bedroom townhouse"" in a ""complex of only five townhouses"" - contradicts the free-standing House label. Classified here as Townhouse based on the description; please verify.",domain.com.au,https://www.domain.com.au/5-32-broughton-st-campbelltown-nsw-2560-2021034182,2026-09-14
"11/39 Chamberlain Street, Campbelltown NSW 2560",Campbelltown,2560,14 Aug 2026,Unit,610000,2,2,1,,152,,55,"Floor area 152sqm stated as ""on title"" in description.",domain.com.au,https://www.domain.com.au/11-39-chamberlain-street-campbelltown-nsw-2560-2020850898,2026-09-14
"42 Hidcote Road, Campbelltown NSW 2560",Campbelltown,2560,14 Aug 2026,House,1150000,4,3,2,277,,,55,"Domain categorizes this as ""Terrace"" (Terraced Houses), not a plain House - mapped to House as closest fit. ALSO: description says the property is a 3-bedroom main residence PLUS a fully detached separate studio (granny flat / dual-living arrangement) - the listed 4 beds/3 baths spans two structures on one title, not a single conventional house; flagging for review.",domain.com.au,https://www.domain.com.au/42-hidcote-road-campbelltown-nsw-2560-2021017085,2026-09-14
"14B Ehrlich Street, Campbelltown NSW 2560",Campbelltown,2560,12 Aug 2026,House,735000,2,2,1,,,,55,"ANOMALY: Domain labels this ""House""/""Free Standing Houses"" but the listing description calls it an ""attached home"" - contradicts free-standing classification, possibly a duplex/semi rather than a true standalone house; flagging for review.",domain.com.au,https://www.domain.com.au/14b-ehrlich-street-campbelltown-nsw-2560-2021050852,2026-09-14
"16 Austin Avenue, Campbelltown NSW 2560",Campbelltown,2560,11 Aug 2026,House,980000,4,3,1,670.3,,,55,,domain.com.au,https://www.domain.com.au/16-austin-avenue-campbelltown-nsw-2560-2020871506,2026-09-14
"12 Valinda Crescent, Campbelltown NSW 2560",Campbelltown,2560,10 Aug 2026,House,950000,3,1,1,645,,,55,,domain.com.au,https://www.domain.com.au/12-valinda-crescent-campbelltown-nsw-2560-2020786434,2026-09-14
"309/38-42 Chamberlain Street, Campbelltown NSW 2560",Campbelltown,2560,7 Aug 2026,Unit,570000,2,2,1,,,,55,,domain.com.au,https://www.domain.com.au/309-38-42-chamberlain-street-campbelltown-nsw-2560-2021015477,2026-09-14
"34/12-20 Tyler Street, Campbelltown NSW 2560",Campbelltown,2560,21 Jul 2026,Unit,715000,3,2,2,,,,55,,domain.com.au,https://www.domain.com.au/34-12-20-tyler-street-campbelltown-nsw-2560-2021003766,2026-09-14
"46 and 46a Farnsworth Avenue, Campbelltown NSW 2560",Campbelltown,2560,27 Jul 2026,House,1185000,5,2,2,734,,,55,"DUAL-OCCUPANCY SALE: address and description confirm this is a main residence PLUS a separate 2-bedroom granny flat (46 and 46A) sold together as one title for one combined price - the 5 beds/2 baths span two dwellings, not a single house. Not a like-for-like comparable to a standard single-dwelling sale; flagging for review.",domain.com.au,https://www.domain.com.au/46-and-46a-farnsworth-avenue-campbelltown-nsw-2560-2020838349,2026-09-14
"88 Goldsmith Avenue, Campbelltown NSW 2560",Campbelltown,2560,24 Jul 2026,Townhouse,890000,3,2,1,177.1,,,55,"Domain categorizes this as ""Semi-Detached"" and description calls it a ""middle terrace"" - not a plain Townhouse; mapped here as closest fit, flagging for review. Also currently tenanted at $680/week (investment sale, sold with option of vacant possession or existing tenant).",domain.com.au,https://www.domain.com.au/88-goldsmith-avenue-campbelltown-nsw-2560-2020876951,2026-09-14
"40 Waminda Avenue, Campbelltown NSW 2560",Campbelltown,2560,21 Jul 2026,House,930000,4,1,1,554,,,55,,domain.com.au,https://www.domain.com.au/40-waminda-avenue-campbelltown-nsw-2560-2020977148,2026-09-14
"31 Grandview Drive, Campbelltown NSW 2560",Campbelltown,2560,21 Jul 2026,House,820000,2,1,0,758.8,,,55,Description markets development/subdivision potential on the large 758.8sqm block - price may reflect land value beyond the existing dwelling.,domain.com.au,https://www.domain.com.au/31-grandview-drive-campbelltown-nsw-2560-2020978686,2026-09-14
"1007/8 Dumaresq Street, Campbelltown NSW 2560",Campbelltown,2560,21 Jul 2026,Unit,525000,1,1,1,,,,55,,domain.com.au,https://www.domain.com.au/1007-8-dumaresq-street-campbelltown-nsw-2560-2020857278,2026-09-14
"198 Broughton Street, Campbelltown NSW 2560",Campbelltown,2560,30 Jun 2026,House,1160555,6,2,1,639,,,55,"Unusual bed/bath/parking ratio for a 6-bedroom house (only 2 baths, 1 car space) - description mentions a ""flexible two-level layout"" but does not explicitly confirm dual-occupancy or a boarding-house configuration; flagging for awareness.",domain.com.au,https://www.domain.com.au/198-broughton-street-campbelltown-nsw-2560-2020660023,2026-09-14
"28 & 28A Westview Street, Campbelltown NSW 2560",Campbelltown,2560,8 Jul 2026,House,1750000,7,4,2,510.9,,,55,DUAL-OCCUPANCY SALE: dual street-numbered address (28 & 28A) with 7 beds/4 baths on one 510.9sqm title strongly suggests a main residence plus a second dwelling (granny flat/duplex) sold together for one combined price - not a single conventional house; flagging for review.,domain.com.au,https://www.domain.com.au/28-28a-westview-street-campbelltown-nsw-2560-2020982388,2026-09-14
"4/40 Parkside Crescent, Campbelltown NSW 2560",Campbelltown,2560,6 Jul 2026,Unit,772500,2,2,1,,,,55,"Recorded from search-results list summary (address, price, beds/baths/parking, type, date) - full listing description not individually opened/verified for this row.",domain.com.au,https://www.domain.com.au/4-40-parkside-crescent-campbelltown-nsw-2560-2020922485,2026-09-14
"40/31-35 Chamberlain Street, Campbelltown NSW 2560",Campbelltown,2560,6 Jul 2026,Unit,515000,2,2,2,,,,55,Recorded from search-results list summary - full listing description not individually opened/verified for this row.,domain.com.au,https://www.domain.com.au/40-31-35-chamberlain-street-campbelltown-nsw-2560-2020841775,2026-09-14
"5 Lachlan Place, Campbelltown NSW 2560",Campbelltown,2560,25 Jun 2026,House,990000,3,1,2,961.1,,,55,Description markets development potential on the large 961.1sqm block - price may reflect land value beyond the existing dwelling.,domain.com.au,https://www.domain.com.au/5-lachlan-place-campbelltown-nsw-2560-2020921215,2026-09-14
"17 Phillip Street, Campbelltown NSW 2560",Campbelltown,2560,4 Jul 2026,House,810000,3,1,2,556.4,,,55,,domain.com.au,https://www.domain.com.au/17-phillip-street-campbelltown-nsw-2560-2020867462,2026-09-14
"157/3-17 Queen Street, Campbelltown NSW 2560",Campbelltown,2560,4 Jul 2026,Unit,415000,1,1,1,,,,55,,domain.com.au,https://www.domain.com.au/157-3-17-queen-street-campbelltown-nsw-2560-2020813074,2026-09-14
"29/3-9 Warby Street, Campbelltown NSW 2560",Campbelltown,2560,24 Jun 2026,Unit,547000,2,2,1,,109,,55,,domain.com.au,https://www.domain.com.au/29-3-9-warby-street-campbelltown-nsw-2560-2020871750,2026-09-14
"71 Pitt Street, Parramatta NSW 2150",Parramatta,2150,27 Sep 2025,House,1771000,6,2,5,455.3,,,24,"Description says the home has a second kitchen downstairs suited to ""dual living, in-law/teen retreat"" - internally configured as a dual-occupancy-style home on one title, not a standard single-family layout; flagging for awareness.",domain.com.au,https://www.domain.com.au/71-pitt-street-parramatta-nsw-2150-2020247084,2026-09-14
"14 Ross Street, Parramatta NSW 2150",Parramatta,2150,23 Sep 2025,House,3000000,3,3,8,446,,,24,"MAJOR ANOMALY: listing description explicitly describes this as a ""HISTORIC SANDSTONE COTTAGE + 2 LEVEL COMMERCIAL FREEHOLD BUILDING"" - i.e. a mixed residential+commercial freehold, not a standard house. Two land-size figures were shown (446sqm and 437sqm), likely two combined lots. This sale is not comparable to typical residential house sales and price is likely driven by the commercial component; strongly recommend excluding or treating as a separate outlier.",domain.com.au,https://www.domain.com.au/14-ross-street-parramatta-nsw-2150-2020016286,2026-09-14
"9 Carrington Street, Parramatta NSW 2150",Parramatta,2150,20 Sep 2025,House,1785000,5,3,2,455,,,24,"Bedroom count discrepancy: listing header/breadcrumb says 5 bedrooms, but the property description text calls it a ""four bedroom family home"" - flagging for review, used the listed 5 for bedrooms field.",domain.com.au,https://www.domain.com.au/9-carrington-street-parramatta-nsw-2150-2020213990,2026-09-14
"17/10-12 Thomas Street, Parramatta NSW 2150",Parramatta,2150,31 Aug 2026,Unit,650000,2,1,1,,,,24,,domain.com.au,https://www.domain.com.au/17-10-12-thomas-street-parramatta-nsw-2150-2021082491,2026-09-14
"401/6 River Road West, Parramatta NSW 2150",Parramatta,2150,30 Aug 2026,Unit,540000,2,2,1,,108,,24,,domain.com.au,https://www.domain.com.au/401-6-river-road-west-parramatta-nsw-2150-2020953991,2026-09-14
"5/30-32 Queens Avenue, Parramatta NSW 2150",Parramatta,2150,28 Aug 2026,Unit,680000,2,1,1,,,,24,,domain.com.au,https://www.domain.com.au/5-30-32-queens-avenue-parramatta-nsw-2150-2020960907,2026-09-14
"11/32 Hassall Street, Parramatta NSW 2150",Parramatta,2150,28 Aug 2026,Unit,590000,2,2,1,,,,24,,domain.com.au,https://www.domain.com.au/11-32-hassall-street-parramatta-nsw-2150-2020925402,2026-09-14
"6/93 Broughton Street, Campbelltown NSW 2560",Campbelltown,2560,28 Mar 2026,Townhouse,740000,3,2,2,,,,55,,domain.com.au,https://www.domain.com.au/6-93-broughton-street-campbelltown-nsw-2560-2020706263,2026-09-14
"119E Lindesay Street, Campbelltown NSW 2560",Campbelltown,2560,17 Apr 2026,Townhouse,905000,3,3,2,,,,55,,domain.com.au,https://www.domain.com.au/119e-lindesay-street-campbelltown-nsw-2560-2020359248,2026-09-14
"4/42-44 Cordeaux Street, Campbelltown NSW 2560",Campbelltown,2560,28 Feb 2026,Townhouse,723000,2,1,1,,80,,55,,domain.com.au,https://www.domain.com.au/4-42-44-cordeaux-street-campbelltown-nsw-2560-2020595410,2026-09-14
"2/34 Allman Street, Campbelltown NSW 2560",Campbelltown,2560,2 Feb 2026,Townhouse,780000,3,2,1,,,,55,,domain.com.au,https://www.domain.com.au/2-34-allman-street-campbelltown-nsw-2560-2020323023,2026-09-14
"12/93-97 Broughton Street, Campbelltown NSW 2560",Campbelltown,2560,12 Dec 2025,Townhouse,640000,2,2,1,,,,55,,domain.com.au,https://www.domain.com.au/12-93-97-broughton-street-campbelltown-nsw-2560-2020450913,2026-09-14
"7/145 Pennant Street, Parramatta NSW 2150",Parramatta,2150,6 Sep 2025,Townhouse,1058000,3,2,2,,,,24,Currently tenanted at time of sale (investment sale) per description.,domain.com.au,https://www.domain.com.au/7-145-pennant-street-parramatta-nsw-2150-2020192441,2026-09-14
"1/11 Grandview Street, Parramatta NSW 2150",Parramatta,2150,25 Jul 2025,Townhouse,950000,3,1,1,,174,,24,,domain.com.au,https://www.domain.com.au/1-11-grandview-street-parramatta-nsw-2150-2020056062,2026-09-14
"3/11-13 Tennyson Street, Parramatta NSW 2150",Parramatta,2150,17 May 2025,Townhouse,710000,2,1,1,,194,,24,,domain.com.au,https://www.domain.com.au/3-11-13-tennyson-street-parramatta-nsw-2150-2019987660,2026-09-14
"1/22 Grandview Street, Parramatta NSW 2150",Parramatta,2150,25 Mar 2025,Townhouse,1300000,3,2,2,,,,24,,domain.com.au,https://www.domain.com.au/1-22-grandview-street-parramatta-nsw-2150-2019873875,2026-09-14
"1/7 Lang Street, Mosman NSW 2088",Mosman,2088,26 Feb 2025,Townhouse,2975000,4,2,2,,,,8,,domain.com.au,https://www.domain.com.au/1-7-lang-street-mosman-nsw-2088-2019773439,2026-09-14
"3/86 Avenue Road, Mosman NSW 2088",Mosman,2088,7 Feb 2025,Townhouse,2525000,3,2,1,,190,,8,,domain.com.au,https://www.domain.com.au/3-86-avenue-road-mosman-nsw-2088-2019738645,2026-09-14
"1/12 Earl Street, Mosman NSW 2088",Mosman,2088,1 Feb 2025,Townhouse,2600000,3,2,2,289,,,8,,domain.com.au,https://www.domain.com.au/1-12-earl-street-mosman-nsw-2088-2019707735,2026-09-14
"33 Killarney Street, Mosman NSW 2088",Mosman,2088,14 May 2026,House,4165000,3,2,1,493,,,8,,domain.com.au,https://www.domain.com.au/33-killarney-street-mosman-nsw-2088-2020766361,2026-09-14
"24 Mulbring Street, Mosman NSW 2088",Mosman,2088,14 May 2026,House,4400000,5,2,1,581,,,8,,domain.com.au,https://www.domain.com.au/24-mulbring-street-mosman-nsw-2088-2020764458,2026-09-14
"6 Countess Street, Mosman NSW 2088",Mosman,2088,12 May 2026,House,3525000,3,2,1,378,,,8,,domain.com.au,https://www.domain.com.au/6-countess-street-mosman-nsw-2088-2020803030,2026-09-14
"2 Dugald Road, Mosman NSW 2088",Mosman,2088,11 May 2026,House,7600000,5,3,2,739,,,8,,domain.com.au,https://www.domain.com.au/2-dugald-road-mosman-nsw-2088-2020628335,2026-09-14
"22 Cowles Road, Mosman NSW 2088",Mosman,2088,5 May 2026,House,5605000,4,2,1,616,,,8,,domain.com.au,https://www.domain.com.au/22-cowles-road-mosman-nsw-2088-2020676985,2026-09-14
"5 Euryalus Street, Mosman NSW 2088",Mosman,2088,1 May 2026,House,6400000,4,2,0,647,,,8,"Very thin listing (1 photo, minimal description) - fewer details available to verify than usual, but core price/bed/bath/land figures are clearly stated.",domain.com.au,https://www.domain.com.au/5-euryalus-street-mosman-nsw-2088-2020947425,2026-09-14
"41 Lang Street, Mosman NSW 2088",Mosman,2088,1 May 2026,House,3350000,3,2,0,329,,,8,"Domain labels this ""House""/""Free Standing Houses"" but description calls it a ""Grand Federation Semi"" - contradicts free-standing classification; flagging for review.",domain.com.au,https://www.domain.com.au/41-lang-street-mosman-nsw-2088-2020763446,2026-09-14
"37 Dalton Road, Mosman NSW 2088",Mosman,2088,29 Apr 2026,House,3450000,4,1,1,,,,8,"Domain labels this ""House""/""Free Standing Houses"" but description explicitly calls it a ""character semi"" - contradicts free-standing classification; flagging for review.",domain.com.au,https://www.domain.com.au/37-dalton-road-mosman-nsw-2088-2020728938,2026-09-14
"3 Glover Street, Mosman NSW 2088",Mosman,2088,20 Apr 2026,House,5600000,5,2,1,515,,,8,,domain.com.au,https://www.domain.com.au/3-glover-street-mosman-nsw-2088-2020742877,2026-09-14
"4/139-153 Middle Head Road, Mosman NSW 2088",Mosman,2088,14 Aug 2026,Unit,2600000,3,2,2,,,,8,,domain.com.au,https://www.domain.com.au/4-139-153-middle-head-road-mosman-nsw-2088-2020999964,2026-09-14
"6/139-153 Middle Head Road, Mosman NSW 2088",Mosman,2088,13 Aug 2026,Unit,2558000,3,2,2,,98,,8,,domain.com.au,https://www.domain.com.au/6-139-153-middle-head-road-mosman-nsw-2088-2021035788,2026-09-14
"14/669 Military Road, Mosman NSW 2088",Mosman,2088,12 Aug 2026,Unit,1600000,2,1,1,,96,,8,,domain.com.au,https://www.domain.com.au/14-669-military-road-mosman-nsw-2088-2020960999,2026-09-14
"9/71 Avenue Road, Mosman NSW 2088",Mosman,2088,10 Aug 2026,Unit,700000,1,1,1,,,,8,,domain.com.au,https://www.domain.com.au/9-71-avenue-road-mosman-nsw-2088-2021004400,2026-09-14
"3/6 Brierley Street, Mosman NSW 2088",Mosman,2088,4 Aug 2026,Unit,975000,2,1,0,,,,8,,domain.com.au,https://www.domain.com.au/3-6-brierley-street-mosman-nsw-2088-2020876627,2026-09-14
"11/23 Warringah Road, Mosman NSW 2088",Mosman,2088,31 Jul 2026,Unit,865000,1,1,1,,,,8,,domain.com.au,https://www.domain.com.au/11-23-warringah-road-mosman-nsw-2088-2020984830,2026-09-14
"6/40 Raglan Street, Mosman NSW 2088",Mosman,2088,27 Jul 2026,Unit,1600000,2,1,1,,103,,8,,domain.com.au,https://www.domain.com.au/6-40-raglan-street-mosman-nsw-2088-2020977668,2026-09-14
"10/16 Avenue Road, Mosman NSW 2088",Mosman,2088,20 Jul 2026,Unit,892000,2,1,0,,80.4,,8,,domain.com.au,https://www.domain.com.au/10-16-avenue-road-mosman-nsw-2088-2020659268,2026-09-14
"4/3 Millett Road, Mosman NSW 2088",Mosman,2088,16 Jul 2026,Unit,1050000,2,1,1,,,,8,,domain.com.au,https://www.domain.com.au/4-3-millett-road-mosman-nsw-2088-2020912133,2026-09-14
"7/154 Raglan Street, Mosman NSW 2088",Mosman,2088,14 Jul 2026,Unit,785000,1,1,1,,,,8,,domain.com.au,https://www.domain.com.au/7-154-raglan-street-mosman-nsw-2088-2020899047,2026-09-14
"1/128-130 Avenue Road, Mosman NSW 2088",Mosman,2088,14 Jul 2026,Unit,1415000,2,1,1,,126,,8,,domain.com.au,https://www.domain.com.au/1-128-130-avenue-road-mosman-nsw-2088-2020877773,2026-09-14
"3/17 Milner Street, Mosman NSW 2088",Mosman,2088,21 Aug 2026,Unit,790000,1,1,0,,,,8,,domain.com.au,https://www.domain.com.au/3-17-milner-street-mosman-nsw-2088-2020939863,2026-09-14
